institution,institution_cubes_name,institution_full_name,continent,country,state,openapc_data_dir,ror_id,institution_type,institution_group,info_url,comment
MDC,mdc,Max Delbrück Center for Molecular Medicine (MDC),EUROPE,DEU,BE,mdc,https://ror.org/04p5ggc03,INS,HGF,https://www.mdc-berlin.de/about_the_mdc/structure/administration/library/oa?mdcbl%5B0%5D=/library&mdctl=0&mdcou=0&mdcot=0&mdcbv=nqe3t2xG8PGtPtxTs7kNhLVIaYkEwltgLl3DWBohxeI,NA
TU Chemnitz,tu_chemnitz,Technische Universität Chemnitz,EUROPE,DEU,SN,tuchemnitz,https://ror.org/00a208s56,HEI,NA,https://www.tu-chemnitz.de/ub/publizieren/openaccess/index.html.en,NA
TU Dresden,tu_dresden,Technische Universität Dresden,EUROPE,DEU,SN,tudresden,https://ror.org/042aqky30,HEI,NA,https://www.slub-dresden.de/veroeffentlichen/open-access,NA
Dortmund TU,dortmund_tu,Technische Universität Dortmund,EUROPE,DEU,NW,tudortmund,https://ror.org/01k97gp34,HEI,NA,https://ub.tu-dortmund.de/forschen-publizieren/open-access/,NA
Bochum U,bochum_u,Ruhr Universität Bochum,EUROPE,DEU,NW,rub,https://ror.org/04tsk2644,HEI,NA,http://www.ruhr-uni-bochum.de/oa/,NA
Giessen U,giessen_u,JLU Gießen,EUROPE,DEU,HE,jlu_giessen,https://ror.org/033eqas34,HEI,NA,https://www.uni-giessen.de/ub/en/digitales-publizieren-en/openaccess-en/oafonds-en?set_language=en,NA
FZJ - ZB,fzj_fb,Forschungszentrum Jülich,EUROPE,DEU,NW,fzj,https://ror.org/02nv7yv05,INS,HGF,https://www.fz-juelich.de/zb/DE/Leistungen/Open_Access/publikationsfonds/publikationsfonds_node.html,NA
Kassel U,kassel_u,University of Kassel,EUROPE,DEU,HE,unikassel,https://ror.org/04zc7p361,HEI,NA,http://www.uni-kassel.de/go/publikationsfonds,NA
TU Ilmenau,tu_ilmenau,Technische Universität Ilmenau,EUROPE,DEU,TH,tuilmenau,https://ror.org/01weqhp73,HEI,NA,https://www.tu-ilmenau.de/universitaet/quicklinks/universitaetsbibliothek/forschen-publizieren/open-access/open-access-finanzierung/open-access-publikationsfonds,NA
TU Muenchen,tu_muenchen,Technische Universität München,EUROPE,DEU,BY,tum,https://ror.org/02kkvpp62,HEI,NA,https://www.ub.tum.de/en/publishing-fund,NA
Hannover U,hannover_u,Leibniz Universität Hannover,EUROPE,DEU,NI,unihannover,https://ror.org/0304hq317,HEI,NA,https://tib.eu/oafonds,NA
Wuerzburg U,wuerzburg_u,University of Würzburg,EUROPE,DEU,BY,uniwuerzburg,https://ror.org/00fbnyb24,HEI,NA,https://www.bibliothek.uni-wuerzburg.de/en/research-publishing/open-access/publication-fund/,NA
Leibniz-Fonds,leibnizfonds,Leibniz-Fonds,EUROPE,DEU,BE,leibnizfonds,NA,INS,WGL,https://www.leibniz-gemeinschaft.de/en/research/open-science-and-digitalisation/open-access,NA
Potsdam U,potsdam_u,University of Potsdam,EUROPE,DEU,BB,unipotsdam,https://ror.org/03bnmw459,HEI,NA,https://publishup.uni-potsdam.de/home/index/help/content/publication_fund,NA
FWF - Austrian Science Fund,fwf,FWF - Austrian Science Fund,EUROPE,AUT,AUT-WI,fwf,https://ror.org/013tf3c58,NA,NA,https://www.fwf.ac.at/en/research-funding/open-access-policy/,NA
Bremen U,bremen_u,University of Bremen,EUROPE,DEU,HB,unibremen,https://ror.org/04ers2y35,HEI,NA,http://www.suub.uni-bremen.de/home-english/refworks-and-publishing/open-access-in-bremen-2/,NA
Erlangen Nuernberg U,erlangen_nuernberg_u,Friedrich-Alexander-Universität Erlangen-Nürnberg,EUROPE,DEU,BY,fau,https://ror.org/00f7hpc57,HEI,NA,https://ub.fau.de/schreiben-publizieren/open-access/dfg-gefoerderter-publikationsfonds/,NA
Wellcome Trust,wellcome_trust, Wellcome Trust,EUROPE,GBR,ENG,NA,https://ror.org/029chgv08,NA,NA,https://wellcome.ac.uk/funding/managing-grant/open-access-policy,NA
Tuebingen U,tuebingen_u,Eberhard Karls Universität Tübingen,EUROPE,DEU,BW,unituebingen,https://ror.org/03a1kwz48,HEI,NA,https://uni-tuebingen.de/en/facilities/university-library/publishing-research/publishing/open-access-publication-fund/,NA
Ulm U,ulm_u,Ulm University,EUROPE,DEU,BW,uniulm,https://ror.org/032000t02,HEI,NA,https://www.uni-ulm.de/einrichtungen/kiz/service-katalog/wid/publikationsmanagement/oap/,NA
Freiburg U,freiburg_u,University of Freiburg,EUROPE,DEU,BW,unifreiburg,https://ror.org/0245cg223,HEI,NA,https://www.ub.uni-freiburg.de/en/support/electronic-publishing/open-access/open-access-publication-fund/,NA
TU Wien,tu_wien,Technische Universität Wien,EUROPE,AUT,AUT-WI,tuwien,https://ror.org/04d836q62,NA,NA,https://www.tuwien.at/bibliothek/publizieren/open-access-und-urheberrecht,NA
HZDR,hzdr,Helmholtz-Zentrum Dresden-Rossendorf,EUROPE,DEU,SN,hzdr,https://ror.org/01zy2cs03,INS,HGF,http://www.hzdr.de/db/Cms?pNid=73,NA
Harvard U,harvard_u,Harvard University,NORTH_AMERICA,USA,US-MA,harvard-hope,https://ror.org/03vek6s52,NA,NA,https://osc.hul.harvard.edu/programs/hope/,NA
Oldenburg U,oldenburg_u,Carl von Ossietzky Universität Oldenburg,EUROPE,DEU,NI,unioldenburg,https://ror.org/033n9gh91,HEI,NA,https://uol.de/en/bis/research-publishing/open-access/open-access-publication-fund,NA
OpenAIRE,openaire,OpenAIRE (FP7 Post-Grant OA Pilot),EUROPE,GRC,GR-I,openaire,https://ror.org/019kf3481,NA,NA,https://digital-strategy.ec.europa.eu/en/news/results-fp7-post-grant-open-access-pilot,NA
University of Calgary,calgary_u,University of Calgary,NORTH_AMERICA,CAN,CA-AB,NA,https://ror.org/03yjb2x39,NA,NA,https://library.ucalgary.ca/oa/,NA
IPN - Leibniz Kiel,ipn,IPN - Leibniz Institute for Science and Mathematics Education,EUROPE,DEU,SH,ipn,https://ror.org/008n8dd57,INS,WGL,https://www.leibniz-ipn.de/de/das-ipn/ueber-uns/bibliothek,NA
UFZ,ufz,Helmholtz-Zentrum für Umweltforschung – UFZ,EUROPE,DEU,SN,ufz,https://ror.org/000h6jb29,INS,HGF,https://www.ufz.de/index.php?en=36297,NA
TiHo Hannover,tiho,"University of Veterinary Medicine Hannover, Foundation",EUROPE,DEU,NI,tihohannover,https://ror.org/015qjqf64,HEI,NA,http://www.tiho-hannover.de/de/kliniken-institute/bibliothek/open-access/publikationsfonds-an-der-tiho/,NA
Milano U,milano_u,Università degli Studi di Milano,EUROPE,ITA,IT-25,unimilano,https://ror.org/00wjc7c48,NA,NA,https://www.unimi.it/en,NA
Virginia Tech,virginia_tech,Virginia Polytechnic Institute and State University,NORTH_AMERICA,USA,US-VA,virginiatech,https://ror.org/02smfhw86,NA,NA,http://guides.lib.vt.edu/oa,NA
Münster U,muenster_u,Münster University,EUROPE,DEU,NW,unimuenster,https://ror.org/00pd74e08,HEI,NA,https://www.uni-muenster.de/Publizieren/service/publikationsfonds/,NA
JGU Mainz,jgu_mainz,Johannes Gutenberg University of Mainz,EUROPE,DEU,RP,unimainz,https://ror.org/023b0x485,HEI,NA,https://www.ub.uni-mainz.de/de/open-access/foerderkriterien-open-access,NA
Universitat de Barcelona,barcelona_u,Universitat de Barcelona,EUROPE,ESP,ES.CT,unibarcelona,https://ror.org/021018s57,NA,NA,https://crai.ub.edu/en/services-and-resources/copyright-intellectual-property-open-access-support/ub-open-acess,NA
IST Austria,ist_austria,Institute of Science and Technology Austria,EUROPE,AUT,AUT-NO,istaustria,https://ror.org/03gnh5541,NA,NA,https://ist.ac.at/en/research/library/publish-communicate/,NA
TIB,tib,TIB – German National Library of Science and Technology,EUROPE,DEU,NI,tib,https://ror.org/04aj4c181,INS,WGL,https://www.tib.eu/en/service/tib-open-access-policy/,NA
Aberystwyth University,aberystwyth_u,Aberystwyth University,EUROPE,GBR,WLS,NA,https://ror.org/015m2p889,NA,NA,NA,NA
Aston University,aston_u,Aston University,EUROPE,GBR,ENG,NA,https://ror.org/05j0ve876,NA,NA,NA,NA
Bangor University,bangor_u,Bangor University,EUROPE,GBR,WLS,NA,https://ror.org/006jb1a24,NA,NA,NA,NA
Cardiff University,cardiff_u,Cardiff University,EUROPE,GBR,WLS,NA,https://ror.org/03kk7td41,NA,NA,NA,NA
Cranfield University,cranfield_u,Cranfield University,EUROPE,GBR,ENG,NA,https://ror.org/05cncd958,NA,NA,NA,NA
Goldsmiths,goldsmiths_u,"Goldsmiths, University of London",EUROPE,GBR,ENG,NA,https://ror.org/01khx4a30,NA,NA,NA,NA
Imperial College London,imperial_college_london,Imperial College London,EUROPE,GBR,ENG,NA,https://ror.org/041kmwe10,NA,NA,NA,NA
Institute of Cancer Research,icr,Institute of Cancer Research (ICR),EUROPE,GBR,ENG,NA,https://ror.org/043jzw605,NA,NA,NA,NA
Keele University,keele_u,Keele University,EUROPE,GBR,ENG,NA,https://ror.org/00340yn33,NA,NA,NA,NA
King's College London,kings_college,King's College London,EUROPE,GBR,ENG,NA,https://ror.org/0220mzb33,NA,NA,NA,NA
LSE,lse,London School of Economics (LSE),EUROPE,GBR,ENG,NA,https://ror.org/0090zs177,NA,NA,NA,NA
LSHTM,lhstm,London School of Hygiene & Tropical Medicine (LSHTM),EUROPE,GBR,ENG,NA,https://ror.org/00a0jsq62,NA,NA,NA,NA
Lancaster University,lancaster_u,Lancaster University,EUROPE,GBR,ENG,NA,https://ror.org/04f2nsd36,NA,NA,NA,NA
Manchester Metropolitan University,manchester_met_u,Manchester Metropolitan University,EUROPE,GBR,ENG,NA,https://ror.org/02hstj355,NA,NA,NA,NA
Northumbria University,northumbria_u,Northumbria University,EUROPE,GBR,ENG,NA,https://ror.org/049e6bc10,NA,NA,NA,NA
Plymouth University,plymouth_u,Plymouth University,EUROPE,GBR,ENG,NA,https://ror.org/008n7pv89,NA,NA,NA,NA
"Queen Mary, University of London",queen_mary_u,Queen Mary University of London,EUROPE,GBR,ENG,NA,https://ror.org/026zzn846,NA,NA,NA,NA
Queen's University Belfast,belfast_u,Queen's University Belfast,EUROPE,GBR,NIR,NA,https://ror.org/00hswnk62,NA,NA,NA,NA
Royal Holloway,royal_holloway,"Royal Holloway, University of London",EUROPE,GBR,ENG,NA,https://ror.org/04g2vpn86,NA,NA,NA,NA
"St George's, University of London",st_georges_u,"St George's, University of London",EUROPE,GBR,ENG,NA,https://ror.org/040f08y74,NA,NA,NA,NA
Swansea University,swansea_u,Swansea University,EUROPE,GBR,WLS,NA,https://ror.org/053fq8t95,NA,NA,NA,NA
UCL,ucl,University College London (UCL),EUROPE,GBR,ENG,NA,https://ror.org/02jx3x895,NA,NA,NA,NA
University of Aberdeen,aberdeen_u,University of Aberdeen,EUROPE,GBR,SCT,NA,https://ror.org/016476m91,NA,NA,NA,NA
University of Bath,bath_u,University of Bath,EUROPE,GBR,ENG,NA,https://ror.org/002h8g185,NA,NA,NA,NA
University of Birmingham,birgmingham_u,University of Birmingham,EUROPE,GBR,ENG,NA,https://ror.org/03angcq70,NA,NA,NA,NA
University of Bristol,bristol_u,University of Bristol,EUROPE,GBR,ENG,NA,https://ror.org/0524sp257,NA,NA,NA,NA
University of Cambridge,cambridge_u,University of Cambridge,EUROPE,GBR,ENG,NA,https://ror.org/013meh722,NA,NA,NA,NA
University of Durham,durham_u,University of Durham,EUROPE,GBR,ENG,NA,https://ror.org/01v29qb04,NA,NA,NA,NA
University of Edinburgh,edinburgh_u,University of Edinburgh,EUROPE,GBR,SCT,NA,https://ror.org/01nrxwf90,NA,NA,NA,NA
University of Exeter,exeter_u,University of Exeter,EUROPE,GBR,ENG,NA,https://ror.org/03yghzc09,NA,NA,NA,NA
University of Glasgow,glasgow_u,University of Glasgow,EUROPE,GBR,SCT,NA,https://ror.org/00vtgdb53,NA,NA,NA,NA
University of Huddersfield,huddersfield_u,University of Huddersfield,EUROPE,GBR,ENG,NA,https://ror.org/05t1h8f27,NA,NA,NA,NA
University of Hull,hull_u,University of Hull,EUROPE,GBR,ENG,NA,https://ror.org/04nkhwh30,NA,NA,NA,NA
University of Leicester,leicester_u,University of Leicester,EUROPE,GBR,ENG,NA,https://ror.org/04h699437,NA,NA,NA,NA
University of Liverpool,liverpool_u,University of Liverpool,EUROPE,GBR,ENG,NA,https://ror.org/04xs57h96,NA,NA,NA,NA
University of Loughborough,loughborough_u,University of Loughborough,EUROPE,GBR,ENG,NA,https://ror.org/04vg4w365,NA,NA,NA,NA
University of Manchester,manchester_u,University of Manchester,EUROPE,GBR,ENG,NA,https://ror.org/027m9bs27,NA,NA,NA,NA
University of Newcastle,newcastle_u,University of Newcastle,EUROPE,GBR,ENG,NA,https://ror.org/01kj2bm70,NA,NA,NA,NA
University of Nottingham,nottingham_u,University of Nottingham,EUROPE,GBR,ENG,NA,https://ror.org/01ee9ar58,NA,NA,NA,NA
University of Oxford,oxford_u,University of Oxford,EUROPE,GBR,ENG,NA,https://ror.org/052gg0110,NA,NA,NA,NA
University of Portsmouth,portsmouth_u,University of Portsmouth,EUROPE,GBR,ENG,NA,https://ror.org/03ykbk197,NA,NA,NA,NA
University of Reading,reading_u,University of Reading,EUROPE,GBR,ENG,NA,https://ror.org/05v62cm79,NA,NA,NA,NA
University of Salford,salford_u,University of Salford,EUROPE,GBR,ENG,NA,https://ror.org/01tmqtf75,NA,NA,NA,NA
University of Sheffield,sheffield_u,University of Sheffield,EUROPE,GBR,ENG,NA,https://ror.org/05krs5044,NA,NA,NA,NA
University of Southampton,southampton_u,University of Southampton,EUROPE,GBR,ENG,NA,https://ror.org/01ryk1543,NA,NA,NA,NA
University of St Andrews,st_andrews_u,University of St Andrews,EUROPE,GBR,SCT,NA,https://ror.org/02wn5qz54,NA,NA,NA,NA
University of Surrey,surrey_u,University of Surrey,EUROPE,GBR,ENG,NA,https://ror.org/00ks66431,NA,NA,NA,NA
University of Sussex,sussex_u,University of Sussex,EUROPE,GBR,ENG,NA,https://ror.org/00ayhx656,NA,NA,NA,NA
University of Warwick,warwick_u,University of Warwick,EUROPE,GBR,ENG,NA,https://ror.org/01a77tt86,NA,NA,NA,NA
University of York,york_u,University of York,EUROPE,GBR,ENG,NA,https://ror.org/04m01e293,NA,NA,NA,NA
Chalmers University of Technology,chalmers_u,Chalmers University of Technology,EUROPE,SWE,SE-O,NA,https://ror.org/040wg7k59,NA,NA,NA,NA
Dalarna University,dalarna_u,Dalarna University,EUROPE,SWE,SE-W,natlibswe/univ_dalarna,https://ror.org/000hdh770,NA,NA,NA,NA
Karolinska Institutet,karolinska,Karolinska Institutet,EUROPE,SWE,SE-AB,natlibswe/karolinska_institute,https://ror.org/056d84691,NA,NA,NA,NA
KTH Royal Institute of Technology,kth,KTH Royal Institute of Technology,EUROPE,SWE,SE-AB,natlibswe/royal_inst_technology,https://ror.org/026vcq606,NA,NA,NA,NA
Linköping University,linkoping_u,Linköping University,EUROPE,SWE,SE-E,natlibswe/univ_linkoping,https://ror.org/05ynxx418,NA,NA,NA,NA
Luleå University of Technology,lulea_tu,Luleå University of Technology,EUROPE,SWE,SE-BD,natlibswe/univ_luleå,https://ror.org/016st3p78,NA,NA,NA,NA
Lund University,lund_u,Lund University,EUROPE,SWE,SE-M,natlibswe/univ_lund,https://ror.org/012a77v79,NA,NA,NA,NA
Malmö University,malmo_u,Malmö University,EUROPE,SWE,SE-M,natlibswe/univ_malmo,https://ror.org/05wp7an13,NA,NA,NA,NA
Mälardalen University,malardalen_u,Mälardalen University,EUROPE,SWE,SE-U,natlibswe/univ_malardalen,https://ror.org/033vfbz75,NA,NA,NA,NA
Stockholm School of Economics,stockholm_se,Stockholm School of Economics,EUROPE,SWE,SE-AB,natlibswe/sthlm_school_economics,https://ror.org/01s5jzh92,NA,NA,NA,NA
Stockholm University,stockholm_u,Stockholm University,EUROPE,SWE,SE-AB,natlibswe/univ_stockholm,https://ror.org/05f0yaq80,NA,NA,NA,NA
Swedish University of Agricultural Sciences,swedish_agricultural_u,Swedish University of Agricultural Sciences,EUROPE,SWE,SE-C,natlibswe/swe_univ_agr_sci,https://ror.org/02yy8x990,NA,NA,NA,NA
Umeå University,umea_u,Umeå University,EUROPE,SWE,SE-AC,NA,https://ror.org/05kb8h459,NA,NA,NA,NA
University of Gothenburg,gothenburg_u,University of Gothenburg,EUROPE,SWE,SE-O,natlibswe/univ_goteborg,https://ror.org/01tm6cn81,NA,NA,NA,NA
Uppsala University,uppsala_u,Uppsala University,EUROPE,SWE,SE-C,natlibswe/univ_uppsala,https://ror.org/048a87296,NA,NA,NA,NA
Akershus University Hospital,akershus_uh,Akershus University Hospital,EUROPE,NOR,NO.AK,NA,https://ror.org/0331wat71,NA,NA,NA,NA
BI Norwegian Business School,nor_business_school,BI Norwegian Business School,EUROPE,NOR,NO.OS,NA,https://ror.org/03ez40v33,NA,NA,NA,NA
Bergen University College,bergen_uc,Bergen University College,EUROPE,NOR,NO.HO,NA,https://ror.org/05phns765,NA,NA,NA,NA
Fridtjof Nansen Institute,fridtjof_nansen_institute,Fridtjof Nansen Institute,EUROPE,NOR,NO.AK,NA,https://ror.org/04ep2t954,NA,NA,NA,NA
GenØk - Centre for Biosafety,genok,GenØk - Centre for Biosafety,EUROPE,NOR,NO.TR,NA,https://ror.org/027arfy53,NA,NA,NA,NA
Harstad University College,harstad_uc,Harstad University College,EUROPE,NOR,NO.TR,NA,NA,NA,NA,NA,NA
Innlandet Hospital Trust,innlandet_ht,Innlandet Hospital Trust,EUROPE,NOR,NO.HE,NA,https://ror.org/02kn5wf75,NA,NA,NA,NA
Institute of Marine Research,institute_of_marine_research,Institute of Marine Research,EUROPE,NOR,NO.HO,NA,https://ror.org/05vg74d16,NA,NA,NA,NA
Molde University College,molde_uc,Molde University College,EUROPE,NOR,NO.MR,NA,https://ror.org/00kxjcd28,NA,NA,NA,NA
NILU - Norwegian Institute for Air Research,nilu,Norwegian Institute for Air Research,EUROPE,NOR,NO.AK,NA,https://ror.org/00q7d9z06,NA,NA,NA,NA
Nansen Environmental and Remote Sensing Center,nersc,Nansen Environmental and Remote Sensing Center,EUROPE,NOR,NO.HO,NA,https://ror.org/015th0q50,NA,NA,NA,NA
Nord University,nord_u,Nord University,EUROPE,NOR,NO.NO,NA,https://ror.org/030mwrt98,NA,NA,NA,NA
Norwegian Center for Studies on Violence and Traumatic Stress,nkvts,Norwegian Center for Studies on Violence and Traumatic Stress,EUROPE,NOR,NO.OS,NA,https://ror.org/01p618c36,NA,NA,NA,NA
Norwegian Institute for Agricultural and Environmental Research,nor_institute_for_agricultural_and_environmental_research,Norwegian Institute for Agricultural and Environmental Research,EUROPE,NOR,NO.AK,NA,https://ror.org/04aah1z61,NA,NA,NA,NA
Norwegian Institute for Nature Research,nina,Norwegian Institute for Nature Research,EUROPE,NOR,NO.TO,NA,https://ror.org/04aha0598,NA,NA,NA,NA
Norwegian Institute of Public Health,nor_institute_for_public_health,Norwegian Institute of Public Health,EUROPE,NOR,NO.OS,NA,https://ror.org/046nvst19,NA,NA,NA,NA
Norwegian Institute of Water Research,nor_institute_of_water_research,Norwegian Institute of Water Research,EUROPE,NOR,NO.OS,NA,https://ror.org/03hrf8236,NA,NA,NA,NA
Norwegian School of Sport Sciences,nor_school_of_sport_sciences,Norwegian School of Sport Sciences,EUROPE,NOR,NO.OS,NA,https://ror.org/045016w83,NA,NA,NA,NA
Norwegian University of Life Sciences,nor_life_sciences_u,Norwegian University of Life Sciences,EUROPE,NOR,NO.AK,NA,https://ror.org/04a1mvv97,NA,NA,NA,NA
Norwegian University of Science and Technology,nor_science_and_technology_u,Norwegian University of Science and Technology,EUROPE,NOR,NO.TO,NA,https://ror.org/05xg72x27,NA,NA,NA,NA
Oslo University Hospital,oslo_uh,Oslo University Hospital,EUROPE,NOR,NO.OS,NA,https://ror.org/00j9c2840,NA,NA,NA,NA
Oslo and Akershus university college,oslo_akershus_uc,Oslo and Akershus University College,EUROPE,NOR,NO.OS,NA,https://ror.org/04q12yn84,NA,NA,NA,NA
SINTEF,sintef,SINTEF (Foundation for Scientific and Industrial Research),EUROPE,NOR,NO.TO,NA,https://ror.org/01f677e56,NA,NA,NA,NA
Sørlandet Hospital Trust,sorlandet_ht,Sørlandet Hospital Trust,EUROPE,NOR,NO.VA,NA,NA,NA,NA,NA,NA
Uni Research,uni_research,Uni Research,EUROPE,NOR,NO.HO,NA,https://ror.org/016tr2j79,NA,NA,NA,NA
University College of Southeast Norway,se_norway_uc,University College of Southeast Norway,EUROPE,NOR,NO.BU,NA,https://ror.org/05ecg5h20,NA,NA,NA,NA
University of Agder,agder_u,University of Agder,EUROPE,NOR,NO.VA,NA,https://ror.org/03x297z98,NA,NA,NA,NA
University of Bergen,bergen_u,University of Bergen,EUROPE,NOR,NO.HO,NA,https://ror.org/03zga2b32,NA,NA,NA,NA
University of Oslo,oslo_u,University of Oslo,EUROPE,NOR,NO.OS,NA,https://ror.org/01xtthb56,NA,NA,NA,NA
University of Stavanger,stavanger_u,University of Stavanger,EUROPE,NOR,NO.RO,NA,https://ror.org/02qte9q33,NA,NA,NA,NA
University of Tromsø - The Arctic University of Norway,tromso_u,University of Tromsø - The Arctic University of Norway,EUROPE,NOR,NO.TR,NA,https://ror.org/00wge5k78,NA,NA,NA,NA
Vestfold Hospital Trust,vestfold_ht,Vestfold Hospital Trust,EUROPE,NOR,NO.VF,NA,NA,NA,NA,NA,NA
Vestre Viken Hospital Trust,vestre_viken_ht,Vestre Viken Hospital Trust,EUROPE,NOR,NO.BU,NA,https://ror.org/03wgsrq67,NA,NA,NA,NA
TU Berlin,tu_berlin,Technische Universität Berlin,EUROPE,DEU,BE,tuberlin,https://ror.org/03v4gjf40,HEI,NA,http://www.ub.tu-berlin.de/publikationsfonds/,NA
Trier U,trier_u,University of Trier,EUROPE,DEU,RP,unitrier,https://ror.org/02778hg05,HEI,NA,https://www.uni-trier.de/bibliothek/forschen-publizieren/open-access/open-access-publikationsfonds,NA
Swiss National Science Foundation (SNSF),snsf,Swiss National Science Foundation (SNSF),EUROPE,CHE,CH.BE,snsf,https://ror.org/00yjd3n13,NA,NA,http://www.snf.ch/en/theSNSF/research-policies/open-access/Pages/default.aspx#OA%202020%20Policy,NA
Osnabrück U,osnabrueck_u,Osnabrück University,EUROPE,DEU,NI,uniosnabrueck,https://ror.org/04qmmjx98,HEI,NA,https://www.ub.uni-osnabrueck.de/publizieren_archivieren/open_access/publikationsfonds.html,NA
TU Braunschweig,tu_braunschweig,Technische Universität Braunschweig,EUROPE,DEU,NI,tubraunschweig,https://ror.org/010nsgg66,HEI,NA,https://ub.tu-braunschweig.de/publikationsfonds/englisch/index_en.php,NA
Stuttgart U,stuttgart_u,University of Stuttgart,EUROPE,DEU,BW,unistuttgart,https://ror.org/04vnq7t77,HEI,NA,https://oa.uni-stuttgart.de/publizieren/fonds/,NA
TU Darmstadt,tu_darmstadt,Technische Universität Darmstadt,EUROPE,DEU,HE,tudarmstadt,https://ror.org/05n911h24,HEI,NA,https://www.ulb.tu-darmstadt.de/service/elektronisches_publizieren/oa_publikationsfond/index.en.jsp,NA
GIGA,giga,GIGA German Institute of Global and Area Studies,EUROPE,DEU,HH,giga,https://ror.org/00681ts17,INS,WGL,https://www.giga-hamburg.de/de/das-giga/giga-bibliothek/open-access,NA
Fraunhofer-Gesellschaft Publishing Fund,fraunhofer_publishing_fund,Fraunhofer-Gesellschaft Publishing Fund,EUROPE,DEU,BY,fraunhofer,NA,INS,FHG,https://www.openaccess.fraunhofer.de/en/open-access-strategy.html,NA
MLU Halle-Wittenberg,mlu,Martin Luther Universität Halle-Wittenberg,EUROPE,DEU,ST,mluhalle,https://ror.org/05gqaka33,HEI,NA,https://bibliothek.uni-halle.de/dbib/openaccess/,NA
