institution;apc;period;doi;currency;is_hybrid;euro
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acscatal.1c00571;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acscatal.1c00602;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acscatal.1c00210;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acschembio.1c00765;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acsearthspacechem.1c00058;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acsestwater.1c00192;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acsnano.0c10159;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acsnano.1c00453;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acsnano.1c06839;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acsphotonics.1c00991;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acssensors.1c01222;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acssuschemeng.1c01065;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acssuschemeng.1c00699;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acssuschemeng.1c04815;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acssynbio.1c00227;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acssynbio.0c00649;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acssynbio.0c00611;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acssynbio.1c00199;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acssynbio.1c00323;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.analchem.0c04731;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.bioconjchem.1c00292;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.bioconjchem.0c00717;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.biomac.1c00353;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.chemrev.0c00986;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.chemmater.1c01569;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.chemmater.1c02631;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.cgd.1c00175;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.cgd.0c01608;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.cgd.1c01144;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.energyfuels.1c01343;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.energyfuels.1c01878;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.energyfuels.1c02031;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.energyfuels.0c04219;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.est.1c01949;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.est.1c03295;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.est.0c07262;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.estlett.1c00658;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.estlett.1c00848;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.iecr.1c02188;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.iecr.1c02841;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.iecr.1c03070;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.iecr.1c02596;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.iecr.1c03046;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.iecr.1c02896;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.inorgchem.1c00682;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.inorgchem.1c03056;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.inorgchem.1c01822;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jafc.1c02016;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jafc.1c02815;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jafc.1c03768;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jafc.1c02281;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jafc.0c06949;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jcim.0c01468;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jcim.0c01151;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jcim.1c00838;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jctc.1c00347;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jctc.1c00662;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jmedchem.1c00302;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jmedchem.1c00315;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jmedchem.1c00206;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jproteome.1c00608;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/jacs.1c04679;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/jacs.1c05363;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/jacs.0c11296;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/jasms.1c00123;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.langmuir.0c02715;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.macromol.0c02670;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.molpharmaceut.0c00968;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.molpharmaceut.1c00098;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.nanolett.1c02178;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.nanolett.1c02881;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.nanolett.1c01200;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.nanolett.1c01092;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.orglett.1c02186;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.orglett.1c02380;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.orglett.1c00557;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.orglett.1c01345;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.organomet.1c00088;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.organomet.1c00109;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.joc.1c00413;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.joc.1c01376;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.joc.1c01971;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.joc.1c01458;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jpca.1c04787;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jpcc.1c04090;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jpcc.1c03976;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jpcc.1c00550;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jpcc.1c02082;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jpcc.1c06632;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jpclett.1c01472;USD;TRUE;
Consejo Superior de Investigaciones Cientificas (CSIC);4000;2021;10.1021/acs.jpclett.1c02898;USD;TRUE;
